bhk,propertytype,location,sqft,pricepersqft,totalprice
4,Flat,Ahmedabad,1872,4873,17500000
5,Flat,Ahmedabad,10201,8499,86700000
4,Flat,Ahmedabad,4608,6400,29400000
4,Flat,Ahmedabad,4941,9006,44500000
5,Flat,Ahmedabad,4863,6462,31400000
3,Flat,Ahmedabad,966,4539,7970000
3,Flat,Ahmedabad,1300,4388,10000000
3,Flat,Ahmedabad,2520,5159,13000000
5,Flat,Ahmedabad,3415,5491,34100000
4,Flat,Ahmedabad,5599,4506,25200000
3,Flat,Ahmedabad,1926,8515,16399999
5,Flat,Ahmedabad,2772,5500,27700000
4,Flat,Ahmedabad,3133,5750,18000000
3,Flat,Ahmedabad,861,4260,8000000
3,Flat,Ahmedabad,1529,14337,6509999
2,Flat,Ahmedabad,1305,5726,5270000
3,Flat,Ahmedabad,2520,4667,13000000
4,Flat,Ahmedabad,1928,5491,14900000
5,Flat,Ahmedabad,3415,3664,34100000
4,Flat,Ahmedabad,3100,5486,11299999
3,Flat,Ahmedabad,1300,5814,10400000
3,Flat,Ahmedabad,963,9000,9600000
4,Flat,Ahmedabad,2580,4323,15000000
5,Flat,Ahmedabad,6840,9500,61500000
3,Flat,Ahmedabad,968,4882,7759999
4,Flat,Ahmedabad,4349,7500,41300000
3,Flat,Ahmedabad,2493,5800,12100000
4,Flat,Ahmedabad,3351,5000,19400000
4,Flat,Ahmedabad,3900,3444,18300000
4,Flat,Ahmedabad,2118,3906,15400000
4,Flat,Ahmedabad,3260,7630,16299999
3,Flat,Ahmedabad,1827,5323,6290000
3,Flat,Ahmedabad,1080,4040,7030000
3,Flat,Ahmedabad,896,4767,7000000
4,Flat,Ahmedabad,3827,4420,29200000
4,Flat,Ahmedabad,4415,5581,23500000
2,Flat,Ahmedabad,1350,5350,5450000
3,Flat,Ahmedabad,3042,11456,14500000
3,Flat,Ahmedabad,1935,5100,8550000
3,Flat,Ahmedabad,1935,6785,10800000
3,Flat,Ahmedabad,787,9500,6940000
4,Flat,Ahmedabad,2376,3798,14300000
3,Flat,Ahmedabad,890,4757,5350000
3,Flat,Ahmedabad,1801,6500,6840000
4,Flat,Ahmedabad,2124,9459,17800000
5,Flat,Ahmedabad,8015,5000,73700000
3,Flat,Ahmedabad,1750,4200,8330000
3,Flat,Ahmedabad,1445,4865,13100000
3,Flat,Ahmedabad,945,6000,7350000
2,Flat,Ahmedabad,1350,4000,5450000
3,Flat,Ahmedabad,1850,4014,9000000
3,Flat,Ahmedabad,800,8527,7000000
2,Flat,Ahmedabad,809,5943,5600000
3,Flat,Ahmedabad,1550,10500,6800000
3,Flat,Ahmedabad,1260,4000,8400000
3,Flat,Ahmedabad,1500,7000,9000000
2,Flat,Ahmedabad,740,5778,5400000
4,Flat,Ahmedabad,1703,4300,14700000
4,Flat,Ahmedabad,4464,4100,31200000
3,Flat,Ahmedabad,1260,6000,10400000
3,Flat,Ahmedabad,1750,4878,7530000
3,Flat,Ahmedabad,968,6667,7220000
2,Flat,Ahmedabad,647,5318,5170000
4,Flat,Ahmedabad,4130,9496,24700000
4,Flat,Ahmedabad,1810,8333,17500000
4,Flat,Ahmedabad,6100,5325,57900000
3,Flat,Ahmedabad,1795,6182,7540000
3,Flat,Ahmedabad,2368,12500,18000000
4,Flat,Ahmedabad,1382,5733,13300000
3,Flat,Ahmedabad,968,9500,7000000
3,Flat,Ahmedabad,836,9400,6900000
3,Flat,Ahmedabad,861,12698,8000000
3,Flat,Ahmedabad,886,4800,7100000
